Stadtbezirk;Bezirksteil
Altstadt - Lehel;Graggenau
Altstadt - Lehel;Angerviertel
Altstadt - Lehel;Hackenviertel
Altstadt - Lehel;Kreuzviertel
Altstadt - Lehel;Lehel
Altstadt - Lehel;Englischer Garten Süd
Ludwigsvorstadt - Isarvorstadt;Gärtnerplatz
Ludwigsvorstadt - Isarvorstadt;Deutsches Museum
Ludwigsvorstadt - Isarvorstadt;Glockenbach
Ludwigsvorstadt - Isarvorstadt;Dreimühlen
Ludwigsvorstadt - Isarvorstadt;Am alten südlichen Friedhof
Ludwigsvorstadt - Isarvorstadt;Am Schlachthof
Ludwigsvorstadt - Isarvorstadt;Ludwigvorstadt - Kliniken
Ludwigsvorstadt - Isarvorstadt;St. Paul
Maxvorstadt;Königsplatz
Maxvorstadt;Augustenstraße
Maxvorstadt;St. Benno
Maxvorstadt;Marsfeld
Maxvorstadt;Josephsplatz
Maxvorstadt;Am alten nördlichen Friedhof
Maxvorstadt;Universität
Maxvorstadt;Schönfeldvorstadt
Maxvorstadt;Maßmannbergl
Schwabing - West;Neuschwabing
Schwabing - West;Am Luitpoldpark
Schwabing - West;Schwere-Reiter-Straße
Au - Haidhausen;Maximilianeum
Au - Haidhausen;Steinhausen
Au - Haidhausen;Haidhausen Nord
Au - Haidhausen;Haidhausen
Au - Haidhausen;Obere Au
Au - Haidhausen;Untere Au
Sendling;Untersendling
Sendling;Sendlinger Feld
Sendling - Westpark;Mittersendling
Sendling - Westpark;Land in Sonne
Sendling - Westpark;Am Waldfriedhof
Schwanthalerhöhe;Westend
Schwanthalerhöhe;Schwanthalerhöhe
Neuhausen - Nymphenburg;Neuhausen
Neuhausen - Nymphenburg;Nymphenburg
Neuhausen - Nymphenburg;Oberwiesenfeld
Neuhausen - Nymphenburg;St. Vinzenz
Neuhausen - Nymphenburg;Alte Kaserne
Neuhausen - Nymphenburg;Dom Pedro
Moosach;Alt-Moosach
Moosach;Moosach-Bahnhof
Milbertshofen - Am Hart;Am Hart
Milbertshofen - Am Hart;Am Riesenfeld
Milbertshofen - Am Hart;Milbertshofen
Schwabing - Freimann;Freimann
Schwabing - Freimann;Obere Isarau
Schwabing - Freimann;Alte Heide-Hirschau
Schwabing - Freimann;Münchner Freiheit
Schwabing - Freimann;Biederstein
Schwabing - Freimann;Schwabing-Ost
Schwabing - Freimann;Kleinhesselohe
Schwabing - Freimann;Neufreimann
Bogenhausen;Oberföhring
Bogenhausen;Johanneskirchen
Bogenhausen;Herzogpark
Bogenhausen;Englschalking
Bogenhausen;Daglfing
Bogenhausen;Parkstadt
Bogenhausen;Altbogenhausen
Berg am Laim;Echarding
Berg am Laim;Josephsburg
Berg am Laim;Berg am Laim Ost
Trudering - Riem;Trudering - Riem
Trudering - Riem;Messestadt Riem
Trudering - Riem;Gartenstadt Trudering
Trudering - Riem;Waldtrudering
Ramersdorf - Perlach;Ramersdorf
Ramersdorf - Perlach;Balanstraße West
Ramersdorf - Perlach;Altperlach
Ramersdorf - Perlach;Neuperlach
Ramersdorf - Perlach;Waldperlach
Obergiesing;Obergiesing
Obergiesing;Südgiesing
Untergiesing - Harlaching;Untergiesing
Untergiesing - Harlaching;Siebenbrunn
Untergiesing - Harlaching;Giesing
Untergiesing - Harlaching;Neuharlaching
Untergiesing - Harlaching;Harlaching
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln;Thalkirchen
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln;Obersendling
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln;Forstenried
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln;Fürstenried West
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln;Solln
Hadern;Blumenau
Hadern;Neuhadern
Hadern;Großhadern
Pasing - Obermenzing;Neupasing
Pasing - Obermenzing;Am Westbad
Pasing - Obermenzing;Pasing
Pasing - Obermenzing;Obermenzing
Aubing - Lochhausen - Langwied;Altaubing
Aubing - Lochhausen - Langwied;Aubing-Süd
Aubing - Lochhausen - Langwied;Lochhausen
Aubing - Lochhausen - Langwied;Freiham
Allach - Untermenzing;Untermenzing-Allach
Allach - Untermenzing;Industriebezirk
Feldmoching - Hasenbergl;Feldmoching
Feldmoching - Hasenbergl;Hasenbergl-Lerchenau Ost
Feldmoching - Hasenbergl;Ludwigsfeld
Feldmoching - Hasenbergl;Lerchenau West
Laim;Friedenheim
Laim;St. Ulrich, Laim
